entry_id,kanji,kana,meaning,part_of_speech,jlpt_level,example_sentence,example_reading,example_chinese,tags,notes,enriched_by,confidence
V0001,賑やか,にぎやか,熱鬧的,na_adjective,N4,この辺りは賑やかです。,このへんりはにぎやかです。,這一帶很熱鬧的。,N4|na_adjective,,teacher_agent,0.79
V0002,素敵,ステキ,很棒,na_adjective,N4,この辺りは素敵です。,このへんりはステキです。,這一帶很很棒。,N4|na_adjective,,teacher_agent,0.86
V0003,,つまらない,無聊的,i_adjective,N5,今日はつまらない。,きょうはつまらない。,今天很無聊的。,N5|i_adjective,,teacher_agent,0.88
V0004,,しんちょう,⾝⾼,other,N4,しんちょうについて勉強しています。,しんちょうについてべんきょうしています。,我正在學習關於⾝⾼的內容。,N4|other,,teacher_agent,0.79
V0005,背中,せなか,背脊,noun,N4,背中について勉強しています。,せなかについてべんきょうしています。,我正在學習關於背脊的內容。,N4|noun,,teacher_agent,0.79
V0006,背後,はいご,背後、背地,noun,N4,背後について勉強しています。,はいごについてべんきょうしています。,我正在學習關於背後的內容。,N4|noun,,teacher_agent,0.79
V0007,涙,なみだ,淚⽔,noun,N4,涙について勉強しています。,なみだについてべんきょうしています。,我正在學習關於淚⽔的內容。,N4|noun,,teacher_agent,0.79
V0008,汚れ,よごれ,污漬、汙垢,noun,N3,汚れについて勉強しています。,よごれについてべんきょうしています。,我正在學習關於污漬的內容。,N3|noun,,teacher_agent,0.85
V0009,美しい,うつくし,美麗的、美好的,i_adjective,N4,今日は美しい。,きょうはうつくし。,今天很美麗的。,N4|i_adjective,,teacher_agent,0.79
V0010,笑顔,えがお,笑臉,noun,N4,笑顔について勉強しています。,えがおについてべんきょうしています。,我正在學習關於笑臉的內容。,N4|noun,,teacher_agent,0.79
V0011,書類,しょるい,⽂件、書籍,noun,N3,書類について勉強しています。,しょるいについてべんきょうしています。,我正在學習關於⽂件的內容。,N3|noun,,teacher_agent,0.85
V0012,,レジ,收銀台 register,noun,N5,レジについて勉強しています。,レジについてべんきょうしています。,我正在學習關於收銀台 register的內容。,N5|noun|外来語,あせ 汗 汗⽔ （汗をかく： 流了很多汗∕出了很 多汗） おみまい お⾒舞い 探病、慰問（⽣病或 受傷的⼈）（お⾒舞 いをする）（お⾒舞 いに⾏く）,teacher_agent,0.88
V0013,⼤家,おおや,房東,noun,N4,⼤家について勉強しています。,おおやについてべんきょうしています。,我正在學習關於房東的內容。,N4|noun,,teacher_agent,0.79
V0014,家賃,やちん,房租,noun,N4,家賃について勉強しています。,やちんについてべんきょうしています。,我正在學習關於房租的內容。,N4|noun,,teacher_agent,0.79
V0015,,までに,在 … 之前,other,N5,までにについて勉強しています。,までにについてべんきょうしています。,我正在學習關於在 … 之前的內容。,N5|other,のんびり ー 悠閒地、慢慢地、輕 鬆地、不慌不忙（の んびりする）,teacher_agent,0.88
V0016,患者,かんじゃ,患者,noun,N4,患者について勉強しています。,かんじゃについてべんきょうしています。,我正在學習關於患者的內容。,N4|noun,,teacher_agent,0.86
V0017,救急,きゅうきゅう,急救,noun,N4,救急について勉強しています。,きゅうきゅうについてべんきょうしています。,我正在學習關於急救的內容。,N4|noun,,teacher_agent,0.86
V0018,,セキ,咳嗽 （咳がでる）,noun,N5,セキについて勉強しています。,セキについてべんきょうしています。,我正在學習關於咳嗽 （咳がでる）的內容。,N5|noun|外来語,,teacher_agent,0.88
V0019,,ウイルス,病毒,noun,N3,ウイルスについて勉強しています。,ウイルスについてべんきょうしています。,我正在學習關於病毒的內容。,N3|noun|外来語,,teacher_agent,0.82
V0020,包帯,ほうたい,繃帶,noun,N3,包帯について勉強しています。,ほうたいについてべんきょうしています。,我正在學習關於繃帶的內容。,N3|noun,,teacher_agent,0.85
V0021,,カバ,覆蓋物、外⽪,noun,N5,カバについて勉強しています。,カバについてべんきょうしています。,我正在學習關於覆蓋物的內容。,N5|noun|外来語,,teacher_agent,0.88
V0022,,ケース,容器、箱⼦、事件,noun,N5,ケースについて勉強しています。,ケースについてべんきょうしています。,我正在學習關於容器的內容。,N5|noun|外来語,,teacher_agent,0.88
V0023,,ラップ,保鮮膜,noun,N5,ラップについて勉強しています。,ラップについてべんきょうしています。,我正在學習關於保鮮膜的內容。,N5|noun|外来語,,teacher_agent,0.88
V0024,商品,しょうひん,商品,noun,N4,商品について勉強しています。,しょうひんについてべんきょうしています。,我正在學習關於商品的內容。,N4|noun,,teacher_agent,0.86
V0025,製品,せいひん,產品,noun,N4,製品について勉強しています。,せいひんについてべんきょうしています。,我正在學習關於產品的內容。,N4|noun,,teacher_agent,0.86
