entry_id,grammar_point,semantic_concept,connection_rule,meaning_zh,example_japanese,example_reading,example_chinese,jlpt_level,tags,notes,usage_when,usage_avoid,common_mistakes,review_issues,review_status,enriched_by,confidence
G0001,のは,針對某行為發表評價、判斷或感想,[動詞辞書形]の + は + [評價/感想],針對某行為發表評價、判斷或感想,早起きするのは、健康にいいです。,早起きするのは、健康にいいです。,早起這件事對健康很好。,N4,N4|文法|助詞,,想對「做某件事」表達個人看法、評價時 | 後面接 いい、悪い、難しい、楽しい 等,後面接具體動作受詞（看、聽、忘記）→ 應改用 のを,與 のが（能力/喜好）、のを（動作受詞）混淆 | 與 のが（能力/喜好）、のを（動作受詞）混淆,,corrected,grammar_teacher_agent,0.95
G0002,のが,表達對某動作的能力、喜好或特質,[動詞辞書形]の + が + [好き、上手、下手、得意、苦手],表達對某動作的能力、喜好或特質,私は音楽を聴くのが好きです。,私は音楽を聴くのが好きです。,我喜歡聽音樂這件事。,N4,N4|文法|助詞,,表達喜好、擅長與否、害怕等情感/能力時,表達「對整件事的評價」→ 用 のは,能力・情感對象習慣用が，不要改成は | 能力・情感對象習慣用が，不要改成は,,corrected,grammar_teacher_agent,0.95
G0003,のを,把某動作當作受詞，後接看、聽、忘記、停止等,[動詞辞書形]の + を + [見る、聞く、忘れる、やめる],把某動作當作受詞，後接看、聽、忘記、停止等,鍵を閉めるのを忘れました。,鍵を閉めるのを忘れました。,我忘記鎖門這件事了。,N4,N4|文法|助詞,鍵(かぎ)を閉(し)めるのを忘(わす)れました。(我忘記了「鎖門」這件事。 →忘記)◦ 彼が音楽(おんがく)を聴いているのを見(み)ました。(我看到了「他正在聽音樂」這件事。  →  看見)◦ (如果用原句的情境):夜中に大音量で音樂を聴くのをやめてください。(請停止「半夜開大音量聽音樂」這個行為。  →  停止),忘記/看見/聽見/停止「某個行為本身」時,只表達評價或喜好時不要用のを,與 のは、のが 搞混；最常考忘れる、見る、やめる | 與 のは、のが 搞混；最常考忘れる、見る、やめる,,corrected,grammar_teacher_agent,0.95
G0004,〜がほしい,表示說話人的願望  →  想要,過去 今と未来 肯定 ほしかったです ほしいです,表示說話人的願望  →  想要,彼女がほしいです,彼女がほしいです,表示說話人的願望  →  想要,N4,N4|文法|句型|助詞,過去 今と未来 肯定 ほしかったです ほしいです,什麼時候「は」才  OK ?,,為什麼不用「は」? | 因為這些句子在做的是:,,passed,pdf_extract,0.95
G0005,否定 ほしくなかったです ほしくないです,否定 ほしくなかったです ほしくないです,否定 ほしくなかったです ほしくないです,否定 ほしくなかったです ほしくないです,否定 ほしくなかったです ほしくないですを使います。,否定 ほしくなかったです ほしくないですを使います。,否定 ほしくなかったです ほしくないです,N3,N3|文法|助詞,,什麼時候「は」才  OK ?,,為什麼不用「は」? | 因為這些句子在做的是:,grammar_point 疑似誤拆（例句/說明文字）; 例句為模板佔位，非真實例句; 意思與句型名稱相同，缺少釋義; 信心分偏低 (0.5),excluded,teacher_agent,0.5
G0006,にの使い方,表示動作的目的,日 文 筆 記,表示動作的目的,にの使い方を使います。,にの使い方を使います。,表示動作的目的,N3,N3|文法|助詞,日 文 筆 記,,,,例句為模板佔位，非真實例句,flagged,teacher_agent,0.6
G0007,神戸へ買い物に行きます,神戸へ買い物に行きます,神戸へ買い物に行きます,神戸へ買い物に行きます,神戸へ買い物に行きますを使います。,神戸へ買い物に行きますを使います。,神戸へ買い物に行きます,N3,N3|文法|助詞,,,,,例句為模板佔位，非真實例句; 意思與句型名稱相同，缺少釋義; 信心分偏低 (0.5),flagged,teacher_agent,0.5
G0008,ましょうか,要不要我…？（提出幫忙）,Vます形 + ましょうか,要不要我…？（提出幫忙）,荷物を持ちましょうか。,荷物を持ちましょうか。,要不要我幫您拿行李？,N4,N3|文法,日 文 筆 記,主動提議為對方做某事,邀請對方一起做 → 用 ましょう | 例:少し  疲れましたね。休みましょうか → 稍微累了呢。我們要不要休息一下呢?,與 ましょう（一起…吧）語感不同 | 與 ましょう（一起…吧）語感不同,意思與句型名稱相同，缺少釋義,corrected,grammar_teacher_agent,0.9
G0009,變化方式:動詞  ます形(去ます) + ましょうか。,變化方式:動詞  ます形(去ます) + ましょうか。,變化方式:動詞  ます形(去ます) + ましょうか。,變化方式:動詞  ます形(去ます) + ましょうか。,變化方式:動詞  ます形(去ます) + ましょうか。を使います。,變化方式:動詞  ます形(去ます) + ましょうか。を使います。,變化方式:動詞  ます形(去ます) + ましょうか。,N3,N3|文法,,,例:少し  疲れましたね。休みましょうか → 稍微累了呢。我們要不要休息一下呢?,,grammar_point 疑似誤拆（例句/說明文字）; 例句為模板佔位，非真實例句; 意思與句型名稱相同，缺少釋義; 信心分偏低 (0.5),excluded,teacher_agent,0.5
G0010,勉強します  →  勉強して,勉強します  →  勉強して,勉強します  →  勉強して,勉強します  →  勉強して,勉強します  →  勉強してを使います。,勉強します  →  勉強してを使います。,勉強します  →  勉強して,N3,N3|文法,,,,,grammar_point 疑似誤拆（例句/說明文字）; 例句為模板佔位，非真實例句; 意思與句型名稱相同，缺少釋義; 信心分偏低 (0.5),excluded,teacher_agent,0.5
G0011,てください,"表示請,是對別人發出禮貌的請求",V  て形  +  ください =  PLEASE   DO例:早く食べてください 日 文 筆 記,"表示請,是對別人發出禮貌的請求",パスポートを見せてください例:これを見てください,パスポートを見せてください例:これを見てください,"表示請,是對別人發出禮貌的請求",N3,N3|文法,,,,,,passed,pdf_extract,0.95
G0012,ています 👉  這個最接近英文完成式的概念,表示某個動作正在進行中,結果狀態的繼續,表示某個動作正在進行中,ています 👉  這個最接近英文完成式的概念を使います。,ています 👉  這個最接近英文完成式的概念を使います。,表示某個動作正在進行中,N3,N3|文法,結果狀態的繼續,,,ています 👉  這個最接近英文完成式的概念,例句為模板佔位，非真實例句,flagged,teacher_agent,0.6
